gender,math score,reading score,writing score,placement score,club join year,placement count,region
Male,66,65,76,97,2020,3,Pune
Female,91,70,76,76,2019,2,Baramati
Female,72,66,75,79,2019,2,Satara
Male,99,75,67,84,2018,2,Karad
Female,62,65,68,87,2018,3,Mulshi
,69,,75,50,,1,Baramati
Female,77,100,72,93,2020,3,Karad
Male,62,80,74,96,2021,3,Pune
Female,75,69,,77,2019,2,Karad
Female,79,64,101,85,2021,3,Baramati
Female,61,69,64,80,2019,2,
,61,61,69,80,2020,2,Pune
Female,78,73,73,90,,3,Karad
Female,66,68,75,98,2020,3,Baramati
Male,80,78,75,95,2018,3,Pune
Female,72,68,72,84,2021,2,Mulshi
Male,80,66,73,79,2019,2,Baramati
Male,60,,62,85,2020,3,Pune
,80,77,68,89,2018,3,Mulshi
Female,72,72,78,76,2018,2,
Male,67,60,64,91,2021,3,Pune
Female,69,71,63,77,2019,2,Mulshi
Male,64,69,63,75,,2,Baramati
Female,74,62,69,100,2021,3,Pune
Male,77,61,74,84,2021,2,Mulshi
Female,75,73,74,86,2021,3,Pune
Male,65,64,64,96,2021,3,Mulshi
Male,64,68,65,95,2020,3,Mulshi
Male,69,68,80,75,2019,2,Pune
